1;arms_factory;2946.00;11.63;1364.00;0.45;0
1;arms_factory;2948.00;10.05;1356.00;3.47;0
1;arms_factory;2948.00;10.38;1357.00;6.13;0
1;arms_factory;2950.00;11.20;1370.00;2.51;0
1;arms_factory;2945.00;12.03;1368.00;4.07;0
1;arms_factory;2945.00;11.88;1369.00;1.91;0
1;industrial_complex;2950.00;12.05;1361.00;3.12;0
1;industrial_complex;2950.00;12.05;1361.00;0.96;0
1;industrial_complex;2950.00;12.40;1364.00;3.98;0
1;industrial_complex;2944.00;9.50;1357.00;0.36;0
1;industrial_complex;2945.00;9.60;1357.00;3.02;0
1;industrial_complex;2948.00;10.82;1371.00;5.69;0
